,field,isFaculty,text
0,Humanities,YES,mobile total physiology pselvaraju 5 0616 printerfriendly supervisionguide tamilnadu academic 8eight motor university specializationinterest 014 home area pondicherry alagappa physical contact publish url completed7seven school 6 degree april academic pg “packages subject 4 2010 09789948333 drapraveen publication 2002 athletics gamesports progress last mphil year department madras select gender 4four source link educationsports assistant ba experience skills 8four teach 3 management publication complete humanity track 1999 praveen institution syndicate sprint bio 2003 1 puducherry book player train national acceleration professor phd fundamental sport 04 present mped male 2 mba economics year method praveencjisgmailcom email 280510 educationist dmaniazhagu 6six – 2001 completion permission ability resolution football address write tuesday 2017 2009 pm dip 109 granted specialization field education designation 605 detail
1,Humanities,YES,ram netaji mobile total 1994 physiology easy 5 seminarsconferencesworkshops 0616 coach printerfriendly academic among tagore subhash university academy specializationinterest february2011 conduct home bharathidasan area pondicherry 2005 1st physical contact publish article annamalai url conference institute proceeding guide issue school 1991 diploma journal 6 make degree april academic methodology “emerging pg 9080549229 conductedlast 4 anatomy drrammohansinghgmailcom participatedlast “vyayam august no9788190807869 athletics cricket” fitness coaching level1 isbn olympics year department mohan select gender source link volume44 assistant 1993 experience 04132211718 health vidnyan”issn teach 3 2011 humanity special college institution telephone staﬀ 1 cricket ramakrishna bangalore workshop mpes date kinanthropometry training singh national batsman tiruchirappalli research bcom professor phd trend sport 189 04 west male science arts 2 drr year method bharadhidasan psychotonic email “concepts number61 completion simple” ﬁtness “inﬂuence page 14 tuesday 2017 09758895 parameter nutrition 2009 mission pm dip organize specialization attend education designation 3rd detail performance
2,Humanities,YES,arunachal communication total 34 vol no2230 gandhi 5 well printerfriendly motivate academic university specializationinterest voice problem postgraduate narrating home 8 eastern pradesh area arundhati 2012published pondicherry contact publish url september endanger lakshmimengpondiunieduin studiesvol issue school diploma journal no8187299 lakhimai april degree way academic female brief no22307710 invasion july factor pg hill book christian no09765247 apply 4 2013 publication rajiv motivational issue material english vishaka language single last multicultural isbn indigenous river elt year department april’ december devi madras roy’s gender source link mili september’ assistant experience march brand impact aesthetic teach pgdte karunya learner east 3 authentic poem 2011 society cooperative political humanity languages author college institution kumar imprint north telephone analysis 1 puducherry classroom multimedia notion identify mamang research product victor dr speak professor phd vol23 study 04 strategy vol3 international 2 friendly year email print dai’s india – acquisition multi concordance 2012 literature 2001 completion issn indian anand co no2 antiaging eltif series 0623 semiotic write interventionist 2006 write perspective tuesday 2017 pm january advertisement specialization technology 2654801 designation shillong story detail
3,Humanities,YES,economic vol5no2 kamaraj total physiology 5 professional printerfriendly socio academic volxliino4 somatotype university specializationinterest pgdya article home area sciencespondicherry 04132654315 pondicherry 2005 23 physical contact jan2011 publish annamalai vital 1997 url volxxviii medicine student school pgdfm condition journal 1981 6 degree april yogic practice academic eﬀect hatha july 4 1990 publication participation 200811 journal combination social eﬀects volxlino4 last capacityindian fitness pranayama mphil year department continuous madras select gender practice source link experience impact teach yogamimamsa gnanavelsakthiyahoocoin 3 eﬃcacy 2011 vol5no1 humanity variables madurai yoga refer college institution aerobic oct2010march telephone dsgpespondiunieduin exercise 1 201011 referredinternational somatotype men 1983 training 0613 boys national research dr professor phd sport attitude 04 guidance bharathiyar mped male run international science 2 year method jan2010 email sakthignanavel aprilsep2010 completion towards no2 woman tuesday 2017 nutrition 2009 pm exercise specialization education designation detail community
4,Humanities,YES,rdamodharan voice dissent total transﬁre perception subaltern vol sangama 5 rationalist 9788190807852 printerfriendly academic p7287 university specializationinterest marginalisation short 9788179103951 autobiography home 8 bharathidasan area clement motif pondicherry 2005 169180 contact publish stereotype url september p272279 division issue school kurinjivelan interreadings praja diaspora minority study 6 degree april 9789380930435 academic canon brahmanical prospect 9788192134802 untranslability spannirselvame drtmarxgmailcom 4 periyar 2013 publication 4652 centre august social english gbaskaran 7 focus last aavishkar associate context may isbn year department p1427 smurali gender final source 8187300523 link defy etal experience publisher girish teach 3 9789381402092 2011 dattani humanity signiﬁcance 1999 institution world telephone literary dec negative pkalyani 1 translation text book may2012 sundaranar play translate muzhukku work dimension yking 0622 96111 tiruchirappalli question medium dr 79100 professor phd study 04 p comparative male 2 tmarxengpondiunieduin year disability method jbheemaiah email problem story dattani’s dalit voice 2012 literature dipa discourse januarymarch completion ambedkar issn indian marx dalits sprabahar cultural text queer 14 tuesday 2017 mahesh 04132654803 pm jaipur january 22501738 lourdes construct drama hegemony specialization manonmaniam islamophobia designation vary poomani’s detail canonize karnad
5,Humanities,YES,10 mobile total 1994 physiology 5 biomechanics professional printerfriendly academic university specializationinterest kamraj pgdre home botany area psychology pondicherry alagappa 2005 2008 physical contact publish article annamalai walk url medicine school 2nd journal univerisity 6 human degree april vicky gandhigram academic 4 2010 anatomy dindigul publication august victorvickyvimalgmailcom 2002 athletics pgdy subject last associate drgvinod may tiruchendur 0614 mphil year department energy gender source american physiological link 1993 experience tirunelveli teach 3 management “mind publication 2011 batlagundu others humanity yoga madurai college institution kumar bsc 2003 rehabilitation 1996 1 deem basis book psychological kinesiology sundaranar research 2010vicky professor phd karaikudi sport 04 body mped male 2 year method email completion ally ed scientiﬁc chidambaram football variables” renewable evaluation tuesday 2017 2009 pm january 09789445822 specialization manonmaniam education designation 3rd detail june prevention apply
6,Humanities,YES,trivandrum total aravinth 5 biomechanics printerfriendly academic university specializationinterest home area author pondicherry 2005 physical contact publish annamalai url 1997 school kerala 6 degree april academic submit book 1998 4 publication august pgdy last mphil 0615 department year gender source link assistant 1993 experience pagestitle health teach 3 management publication humanity track yoga institution bsc small asana 1 24 mpes month 1995 professor phd sport 04 pondicherry605 male 2 year one email 15 completion graphic mrktiroumourougane 001 lncpe tuesday 2017 thesis 2009 pm ktmpespondiunieduin nis specialization field education designation k tiroumourougane sai detail science
7,Humanities,YES,total 183192 vol pencraft paper hkalpyahoocom 5 printerfriendly academic nationalism h university formerly specializationinterest c indienne 9788126910878 article “politicising 014 home area author nos culturalism pondicherry contact nandini publish url 1997 de 2011pp edit delhi institute feminist dhvanyaloka issue school contemporary 9782362470042 journal diaspora 6 study 19 editorcoeditor degree april sudel academic female sen 29 book activity select 4 2010 works” la new 1990 publication “articulating dans slno english relationship 09718877 last volume associate 153161 representation isbn kakatiya mphil year department devi gender inter source american l’histoire link theory experience publisher name l’ocean fuma teach pgdte 3 publication 2011 institutiondept humanity languages foreign special development central kalpana institution pgcte review telephone 1982 literary 1996 1 et history particular book bangalore paneerselvam mahasweta quilt 0621 national dr issnisbn reunion hyderabad cruise know professor phd indien 0413 reread 04 present body comparative international 2 editor year mysore email criterion pp chapter 9788190941679 pay canadian india 2654481 mauritian – 87101 literature critical emphasis completion hkalpengpondiunieduin issn indian ed iles pgdts crossroad de hyphen write b page address perspective tuesday 2017 2009 pm title specialization stanadayini” women’s designation fiction 605 atlantic pp179187 detail authorcoauthor 1992
8,Humanities,YES,team mobile total 02nd physiology 5 06th msc printerfriendly tamilnadu academic university specializationinterest level statistic home ball bharathidasan area pondicherry physical contact center publish hold annamalai url medicine kabaddi rahman zone school study volleyball degree april 2016 academic female manager abdur methodology contribution 2010 4 0617 handball referee 22nd mrssjagadeeswari 43 athletics 2015 jagsnathigmailcom mphil year department gender inter source saveeta link 09894910276 assistant ba experience 2007 3 korfball humanity special yoga college institution badminton exercise south uiversity october 1 bped cricket athletic interest govt kinanthropometry oﬃcial training bharathiar tn research dr professor sport 04 chennai west mped 2 year method email tamil india therapy basketball completion srm accompany woman 2006 tuesday 2017 25th state 2009 pm january specialization technical education women’s designation detail
9,Humanities,YES,communication p39 thousand 10 trivandrum total inquiry 5 printerfriendly spiritual academic university specializationinterest 20102013 20 feature direction article home poetry editorial 8 area clement pondicherry contact publish url remark delhi windsorvol issue school kerala interreadings 1981 visual study 6 degree april space academic 1979 kolkata 29 headengpondiunieduin environment theory 2010 4 new 1990 publication ecological english author 7 viewarticleaspmyr2010issid32id2031 essay last context greenwood orient aesthetic representation isbn 9 prefatory nature year department environmental shop gender source criticism 8187300523 link read tree ba comprehensioned experience 2656746 julaug smuralsgmailcom publisher aesthetics eastfacing teach 3 think 550 poem 2011 humanity signiﬁcance clariﬁcation institution pleasure 9788126916252rs telephone literary murali 1 classroom book muse culture essay versa research 32 correctness 0619 dr hyderabad professor phd like authorspress2013 2654837 04 chennai male gnosis international art 2 year email 11 time india 2012 literature critical completion dynamic blackswan indian towards ed cultural learn text poeticsnew hero tuesday 2017 sriaurobindo’s rampike image pm lourdes specialization press designation distributor monfakira atlantic face detail quality
